WALLS:
98, 34, 257, 36
257, 36, 386, 55
386, 55, 548, 37
548, 37, 621, 57
621, 57, 651, 144
651, 144, 634, 277
634, 277, 588, 355
588, 355, 530, 357
530, 357, 488, 331
488, 331, 457, 300
457, 300, 454, 232
454, 232, 427, 202
427, 202, 370, 192
370, 192, 346, 244
346, 244, 350, 291
350, 291, 355, 352
355, 352, 320, 377
320, 377, 221, 385
221, 385, 84, 367
84, 367, 53, 348
53, 348, 38, 295
38, 295, 41, 201
41, 201, 36, 99
36, 99, 96, 35
548, 259, 552, 203
552, 203, 545, 141
545, 141, 506, 117
506, 117, 402, 118
402, 118, 314, 126
314, 126, 113, 107
109, 288, 275, 297
275, 297, 304, 127
208, 202, 42, 201

CHECKPOINTS:
303, 127, 320, 47
544, 142, 650, 148
206, 201, 291, 203
112, 108, 37, 110
548, 259, 541, 358
388, 194, 386, 122
274, 297, 326, 370
109, 289, 40, 285
