WALLS:
180, 84, 101, 178
101, 178, 105, 413
105, 413, 220, 517
220, 517, 557, 526
557, 526, 659, 433
659, 433, 654, 158
654, 158, 569, 74
569, 74, 183, 86
196, 240, 198, 344
198, 344, 282, 426
282, 426, 506, 430
506, 430, 563, 375
563, 375, 554, 216
554, 216, 485, 182
485, 182, 251, 195
251, 195, 193, 246

CHECKPOINTS:
352, 83, 355, 188
421, 81, 419, 184
505, 80, 486, 179
591, 101, 525, 203
654, 170, 558, 226
659, 254, 562, 267
650, 327, 564, 326
658, 388, 559, 374
624, 466, 535, 406
566, 513, 499, 433
472, 522, 455, 434
409, 522, 414, 425
316, 517, 347, 428
195, 491, 277, 423
126, 431, 246, 388
106, 370, 194, 347
107, 314, 193, 301
104, 255, 194, 269
109, 185, 207, 229
132, 139, 220, 217
191, 83, 252, 196
291, 85, 308, 194

